nazione,anno,classificazione_settore,variazione_settore_annua
CY,2018,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",6.3
CY,2019,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",6.5
CY,2020,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",-6.2
CY,2021,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",7.1
CY,2022,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",4.3
CY,2023,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",5.5
CY,2024,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",1.4
CY,2015,"Computer programming, consultancy, and information service activities",12.9
CY,2016,"Computer programming, consultancy, and information service activities",14.7
CY,2017,"Computer programming, consultancy, and information service activities",12.7
CY,2018,"Computer programming, consultancy, and information service activities",10.3
CY,2019,"Computer programming, consultancy, and information service activities",57.0
CY,2020,"Computer programming, consultancy, and information service activities",25.0
CY,2021,"Computer programming, consultancy, and information service activities",14.0
CY,2022,"Computer programming, consultancy, and information service activities",11.2
CY,2023,"Computer programming, consultancy, and information service activities",25.9
CY,2024,"Computer programming, consultancy, and information service activities",4.0
CY,2015,Construction,1.0
CY,2016,Construction,12.9
CY,2017,Construction,18.4
CY,2018,Construction,14.4
CY,2019,Construction,18.2
CY,2020,Construction,0.1
CY,2021,Construction,12.9
CY,2022,Construction,2.7
CY,2023,Construction,1.3
CY,2024,Construction,1.2
CY,2015,"Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities",3.9
CY,2016,"Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities",10.0
CY,2017,"Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities",9.9
CY,2018,"Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities",24.7
CY,2019,"Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities",12.6
CY,2020,"Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities",-14.1
CY,2021,"Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities",18.0
CY,2022,"Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities",2.4
CY,2023,"Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities",2.5
CY,2024,"Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities",9.6
CY,2015,"Crop and animal production, hunting and related service activities",-1.9
CY,2016,"Crop and animal production, hunting and related service activities",3.0
CY,2017,"Crop and animal production, hunting and related service activities",-1.8
CY,2018,"Crop and animal production, hunting and related service activities",-6.1
CY,2019,"Crop and animal production, hunting and related service activities",2.2
CY,2020,"Crop and animal production, hunting and related service activities",-0.4
CY,2021,"Crop and animal production, hunting and related service activities",0.9
CY,2022,"Crop and animal production, hunting and related service activities",0.8
CY,2023,"Crop and animal production, hunting and related service activities",0.6
CY,2024,"Crop and animal production, hunting and related service activities",1.3
CY,2015,Education,3.1
CY,2016,Education,4.4
CY,2017,Education,3.8
CY,2018,Education,7.4
CY,2019,Education,6.3
CY,2020,Education,2.3
CY,2021,Education,5.6
CY,2022,Education,2.1
CY,2023,Education,1.4
CY,2024,Education,2.5
CY,2015,"Electricity, gas, steam and air conditioning supply",-3.8
CY,2016,"Electricity, gas, steam and air conditioning supply",-2.4
CY,2017,"Electricity, gas, steam and air conditioning supply",-0.4
CY,2018,"Electricity, gas, steam and air conditioning supply",8.8
CY,2019,"Electricity, gas, steam and air conditioning supply",3.9
CY,2020,"Electricity, gas, steam and air conditioning supply",0.3
CY,2021,"Electricity, gas, steam and air conditioning supply",1.7
CY,2022,"Electricity, gas, steam and air conditioning supply",1.3
CY,2023,"Electricity, gas, steam and air conditioning supply",3.2
CY,2024,"Electricity, gas, steam and air conditioning supply",2.0
CY,2015,Employment activities,3.1
CY,2016,Employment activities,3.8
CY,2017,Employment activities,1.7
CY,2018,Employment activities,-13.3
CY,2019,Employment activities,8.0
CY,2020,Employment activities,-9.4
CY,2021,Employment activities,15.1
CY,2022,Employment activities,3.4
CY,2023,Employment activities,2.2
CY,2024,Employment activities,0.5
CY,2015,Financial and insurance activities,4.6
CY,2016,Financial and insurance activities,5.2
CY,2017,Financial and insurance activities,3.5
CY,2018,Financial and insurance activities,2.1
CY,2019,Financial and insurance activities,3.4
CY,2020,Financial and insurance activities,8.3
CY,2021,Financial and insurance activities,5.4
CY,2022,Financial and insurance activities,0.0
CY,2023,Financial and insurance activities,-3.6
CY,2024,Financial and insurance activities,0.0
CY,2015,"Financial service activities, except insurance and pension funding",3.0
CY,2016,"Financial service activities, except insurance and pension funding",1.1
CY,2017,"Financial service activities, except insurance and pension funding",-1.6
CY,2018,"Financial service activities, except insurance and pension funding",3.1
CY,2019,"Financial service activities, except insurance and pension funding",1.6
CY,2020,"Financial service activities, except insurance and pension funding",9.8
CY,2021,"Financial service activities, except insurance and pension funding",0.3
CY,2022,"Financial service activities, except insurance and pension funding",-1.6
CY,2023,"Financial service activities, except insurance and pension funding",-3.4
CY,2024,"Financial service activities, except insurance and pension funding",1.0
CY,2015,Fishing and aquaculture,20.8
CY,2016,Fishing and aquaculture,-19.8
CY,2017,Fishing and aquaculture,-2.1
CY,2018,Fishing and aquaculture,-1.8
CY,2019,Fishing and aquaculture,5.9
CY,2020,Fishing and aquaculture,3.3
CY,2021,Fishing and aquaculture,-1.9
CY,2022,Fishing and aquaculture,0.8
CY,2023,Fishing and aquaculture,0.9
CY,2024,Fishing and aquaculture,0.9
CY,2015,Forestry and logging,8.1
CY,2016,Forestry and logging,8.0
CY,2017,Forestry and logging,-7.7
CY,2018,Forestry and logging,25.6
CY,2019,Forestry and logging,13.0
CY,2020,Forestry and logging,12.2
CY,2021,Forestry and logging,8.4
CY,2022,Forestry and logging,3.8
CY,2023,Forestry and logging,2.7
CY,2024,Forestry and logging,2.4
CY,2015,Human health activities,5.3
CY,2016,Human health activities,3.8
CY,2017,Human health activities,3.6
CY,2018,Human health activities,7.0
CY,2019,Human health activities,4.8
CY,2020,Human health activities,11.1
CY,2021,Human health activities,6.5
CY,2022,Human health activities,2.1
CY,2023,Human health activities,3.1
CY,2024,Human health activities,2.2
CY,2015,Human health and social work activities,4.9
CY,2016,Human health and social work activities,4.0
CY,2017,Human health and social work activities,3.6
CY,2018,Human health and social work activities,6.9
CY,2019,Human health and social work activities,5.1
CY,2020,Human health and social work activities,9.6
CY,2021,Human health and social work activities,6.4
CY,2022,Human health and social work activities,2.5
CY,2023,Human health and social work activities,3.1
CY,2024,Human health and social work activities,2.3
CY,2015,Industry (except construction),3.2
CY,2016,Industry (except construction),5.5
CY,2017,Industry (except construction),4.9
CY,2018,Industry (except construction),1.6
CY,2019,Industry (except construction),1.0
CY,2020,Industry (except construction),-5.3
CY,2021,Industry (except construction),9.2
CY,2022,Industry (except construction),3.5
CY,2023,Industry (except construction),1.1
CY,2024,Industry (except construction),1.8
CY,2015,Information and communication,3.2
CY,2016,Information and communication,7.9
CY,2017,Information and communication,6.2
CY,2018,Information and communication,5.2
CY,2019,Information and communication,31.1
CY,2020,Information and communication,15.8
CY,2021,Information and communication,11.6
CY,2022,Information and communication,9.6
CY,2023,Information and communication,14.7
CY,2024,Information and communication,2.9
CY,2015,"Insurance, reinsurance and pension funding, except compulsory social security",7.8
CY,2016,"Insurance, reinsurance and pension funding, except compulsory social security",4.1
CY,2017,"Insurance, reinsurance and pension funding, except compulsory social security",2.1
CY,2018,"Insurance, reinsurance and pension funding, except compulsory social security",-7.4
CY,2019,"Insurance, reinsurance and pension funding, except compulsory social security",0.0
CY,2020,"Insurance, reinsurance and pension funding, except compulsory social security",0.3
CY,2021,"Insurance, reinsurance and pension funding, except compulsory social security",3.2
CY,2022,"Insurance, reinsurance and pension funding, except compulsory social security",3.3
CY,2023,"Insurance, reinsurance and pension funding, except compulsory social security",-0.4
CY,2024,"Insurance, reinsurance and pension funding, except compulsory social security",1.1
CY,2015,Land transport and transport via pipelines,2.9
CY,2016,Land transport and transport via pipelines,4.8
CY,2017,Land transport and transport via pipelines,3.5
CY,2018,Land transport and transport via pipelines,3.4
CY,2019,Land transport and transport via pipelines,2.6
CY,2020,Land transport and transport via pipelines,-14.0
CY,2021,Land transport and transport via pipelines,11.3
CY,2022,Land transport and transport via pipelines,2.4
CY,2023,Land transport and transport via pipelines,2.8
CY,2024,Land transport and transport via pipelines,1.6
CY,2015,Legal and accounting activities; activities of head offices; management consultancy activities,4.6
CY,2016,Legal and accounting activities; activities of head offices; management consultancy activities,7.2
CY,2017,Legal and accounting activities; activities of head offices; management consultancy activities,4.6
CY,2018,Legal and accounting activities; activities of head offices; management consultancy activities,8.6
CY,2019,Legal and accounting activities; activities of head offices; management consultancy activities,6.0
CY,2020,Legal and accounting activities; activities of head offices; management consultancy activities,2.0
CY,2021,Legal and accounting activities; activities of head offices; management consultancy activities,7.8
CY,2022,Legal and accounting activities; activities of head offices; management consultancy activities,2.7
CY,2023,Legal and accounting activities; activities of head offices; management consultancy activities,1.2
CY,2024,Legal and accounting activities; activities of head offices; management consultancy activities,1.9
CY,2015,Legal and accounting activities; activities of head offices; management consultancy activities; architectural and engineering activities; technical testing and analysis,5.0
CY,2016,Legal and accounting activities; activities of head offices; management consultancy activities; architectural and engineering activities; technical testing and analysis,8.1
CY,2017,Legal and accounting activities; activities of head offices; management consultancy activities; architectural and engineering activities; technical testing and analysis,5.4
CY,2018,Legal and accounting activities; activities of head offices; management consultancy activities; architectural and engineering activities; technical testing and analysis,8.0
CY,2019,Legal and accounting activities; activities of head offices; management consultancy activities; architectural and engineering activities; technical testing and analysis,6.8
CY,2020,Legal and accounting activities; activities of head offices; management consultancy activities; architectural and engineering activities; technical testing and analysis,1.9
CY,2021,Legal and accounting activities; activities of head offices; management consultancy activities; architectural and engineering activities; technical testing and analysis,7.8
CY,2022,Legal and accounting activities; activities of head offices; management consultancy activities; architectural and engineering activities; technical testing and analysis,3.2
CY,2023,Legal and accounting activities; activities of head offices; management consultancy activities; architectural and engineering activities; technical testing and analysis,1.3
CY,2024,Legal and accounting activities; activities of head offices; management consultancy activities; architectural and engineering activities; technical testing and analysis,1.9
CY,2015,Manufacture of basic metals,8.3
CY,2016,Manufacture of basic metals,2.8
CY,2017,Manufacture of basic metals,14.3
CY,2018,Manufacture of basic metals,32.0
CY,2019,Manufacture of basic metals,0.6
CY,2020,Manufacture of basic metals,-3.5
CY,2021,Manufacture of basic metals,7.1
CY,2022,Manufacture of basic metals,-3.0
CY,2023,Manufacture of basic metals,-3.8
CY,2024,Manufacture of basic metals,3.3
CY,2015,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",0.6
CY,2016,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",4.3
CY,2017,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",7.2
CY,2018,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",-0.2
CY,2019,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",5.3
CY,2020,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",-8.3
CY,2021,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",13.7
CY,2022,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",4.5
CY,2023,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",1.1
CY,2024,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",1.8
CY,2015,Manufacture of basic pharmaceutical products and pharmaceutical preparations,4.6
CY,2016,Manufacture of basic pharmaceutical products and pharmaceutical preparations,7.9
CY,2017,Manufacture of basic pharmaceutical products and pharmaceutical preparations,4.3
CY,2018,Manufacture of basic pharmaceutical products and pharmaceutical preparations,8.2
CY,2019,Manufacture of basic pharmaceutical products and pharmaceutical preparations,8.0
CY,2020,Manufacture of basic pharmaceutical products and pharmaceutical preparations,8.6
CY,2021,Manufacture of basic pharmaceutical products and pharmaceutical preparations,10.1
CY,2022,Manufacture of basic pharmaceutical products and pharmaceutical preparations,3.0
CY,2023,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.0
CY,2024,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.2
CY,2015,Manufacture of chemicals and chemical products,-0.4
CY,2016,Manufacture of chemicals and chemical products,-1.1
CY,2017,Manufacture of chemicals and chemical products,-2.9
CY,2018,Manufacture of chemicals and chemical products,12.0
CY,2019,Manufacture of chemicals and chemical products,-9.4
CY,2020,Manufacture of chemicals and chemical products,-10.4
CY,2021,Manufacture of chemicals and chemical products,14.1
CY,2022,Manufacture of chemicals and chemical products,1.5
CY,2023,Manufacture of chemicals and chemical products,2.8
CY,2024,Manufacture of chemicals and chemical products,-2.4
CY,2015,Manufacture of coke and refined petroleum products,-1.5
CY,2016,Manufacture of coke and refined petroleum products,-47.6
CY,2017,Manufacture of coke and refined petroleum products,-33.6
CY,2018,Manufacture of coke and refined petroleum products,-9.8
CY,2019,Manufacture of coke and refined petroleum products,13.2
CY,2020,Manufacture of coke and refined petroleum products,-4.0
CY,2021,Manufacture of coke and refined petroleum products,13.5
CY,2022,Manufacture of coke and refined petroleum products,3.1
CY,2023,Manufacture of coke and refined petroleum products,1.9
CY,2024,Manufacture of coke and refined petroleum products,4.1
CY,2015,"Manufacture of computer, electronic and optical products",0.6
CY,2016,"Manufacture of computer, electronic and optical products",16.5
CY,2017,"Manufacture of computer, electronic and optical products",-5.1
CY,2018,"Manufacture of computer, electronic and optical products",125.7
CY,2019,"Manufacture of computer, electronic and optical products",16.3
CY,2020,"Manufacture of computer, electronic and optical products",-2.1
CY,2021,"Manufacture of computer, electronic and optical products",12.9
CY,2022,"Manufacture of computer, electronic and optical products",8.8
CY,2023,"Manufacture of computer, electronic and optical products",3.5
CY,2024,"Manufacture of computer, electronic and optical products",0.0
CY,2015,Manufacture of electrical equipment,22.2
CY,2016,Manufacture of electrical equipment,0.2
CY,2017,Manufacture of electrical equipment,-10.5
CY,2018,Manufacture of electrical equipment,5.9
CY,2019,Manufacture of electrical equipment,1.4
CY,2020,Manufacture of electrical equipment,-1.3
CY,2021,Manufacture of electrical equipment,13.4
CY,2022,Manufacture of electrical equipment,2.2
CY,2023,Manufacture of electrical equipment,1.8
CY,2024,Manufacture of electrical equipment,1.2
CY,2015,"Manufacture of fabricated metal products, except machinery and equipment",0.0
CY,2016,"Manufacture of fabricated metal products, except machinery and equipment",4.4
CY,2017,"Manufacture of fabricated metal products, except machinery and equipment",6.7
CY,2018,"Manufacture of fabricated metal products, except machinery and equipment",-2.7
CY,2019,"Manufacture of fabricated metal products, except machinery and equipment",5.8
CY,2020,"Manufacture of fabricated metal products, except machinery and equipment",-8.8
CY,2021,"Manufacture of fabricated metal products, except machinery and equipment",14.5
CY,2022,"Manufacture of fabricated metal products, except machinery and equipment",5.3
CY,2023,"Manufacture of fabricated metal products, except machinery and equipment",1.6
CY,2024,"Manufacture of fabricated metal products, except machinery and equipment",1.7
CY,2015,Manufacture of food products; beverages and tobacco products,1.3
CY,2016,Manufacture of food products; beverages and tobacco products,5.2
CY,2017,Manufacture of food products; beverages and tobacco products,5.2
CY,2018,Manufacture of food products; beverages and tobacco products,-3.2
CY,2019,Manufacture of food products; beverages and tobacco products,-0.5
CY,2020,Manufacture of food products; beverages and tobacco products,-3.9
CY,2021,Manufacture of food products; beverages and tobacco products,7.3
CY,2022,Manufacture of food products; beverages and tobacco products,4.5
CY,2023,Manufacture of food products; beverages and tobacco products,1.9
CY,2024,Manufacture of food products; beverages and tobacco products,3.0
CY,2015,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",17.8
CY,2016,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",19.9
CY,2017,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",10.0
CY,2018,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",2.1
CY,2019,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",-2.8
CY,2020,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",-12.5
CY,2021,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",9.3
CY,2022,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",3.7
CY,2023,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",-1.5
CY,2024,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",-0.5
CY,2015,Manufacture of furniture; other manufacturing,-0.2
CY,2016,Manufacture of furniture; other manufacturing,7.2
CY,2017,Manufacture of furniture; other manufacturing,-0.4
CY,2018,Manufacture of furniture; other manufacturing,-7.0
CY,2019,Manufacture of furniture; other manufacturing,-0.9
CY,2020,Manufacture of furniture; other manufacturing,-10.3
CY,2021,Manufacture of furniture; other manufacturing,6.9
CY,2022,Manufacture of furniture; other manufacturing,5.5
CY,2023,Manufacture of furniture; other manufacturing,0.4
CY,2024,Manufacture of furniture; other manufacturing,0.6
CY,2015,Manufacture of machinery and equipment n.e.c.,6.0
CY,2016,Manufacture of machinery and equipment n.e.c.,3.1
CY,2017,Manufacture of machinery and equipment n.e.c.,1.8
CY,2018,Manufacture of machinery and equipment n.e.c.,-6.9
CY,2019,Manufacture of machinery and equipment n.e.c.,1.7
CY,2020,Manufacture of machinery and equipment n.e.c.,-1.7
CY,2021,Manufacture of machinery and equipment n.e.c.,6.9
CY,2022,Manufacture of machinery and equipment n.e.c.,-0.3
CY,2023,Manufacture of machinery and equipment n.e.c.,-0.6
CY,2024,Manufacture of machinery and equipment n.e.c.,0.6
CY,2015,"Manufacture of motor vehicles, trailers and semi-trailers",0.5
CY,2016,"Manufacture of motor vehicles, trailers and semi-trailers",3.4
CY,2017,"Manufacture of motor vehicles, trailers and semi-trailers",5.1
CY,2018,"Manufacture of motor vehicles, trailers and semi-trailers",30.5
CY,2019,"Manufacture of motor vehicles, trailers and semi-trailers",2.5
CY,2020,"Manufacture of motor vehicles, trailers and semi-trailers",-15.4
CY,2021,"Manufacture of motor vehicles, trailers and semi-trailers",13.8
CY,2022,"Manufacture of motor vehicles, trailers and semi-trailers",3.0
CY,2023,"Manufacture of motor vehicles, trailers and semi-trailers",2.6
CY,2024,"Manufacture of motor vehicles, trailers and semi-trailers",3.0
CY,2015,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",-5.3
CY,2016,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",-0.8
CY,2017,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",7.6
CY,2018,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",22.7
CY,2019,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",3.4
CY,2020,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",-14.4
CY,2021,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",13.1
CY,2022,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",9.6
CY,2023,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",2.5
CY,2024,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",0.5
CY,2015,Manufacture of other non-metallic mineral products,-1.0
CY,2016,Manufacture of other non-metallic mineral products,2.1
CY,2017,Manufacture of other non-metallic mineral products,5.3
CY,2018,Manufacture of other non-metallic mineral products,0.6
CY,2019,Manufacture of other non-metallic mineral products,6.2
CY,2020,Manufacture of other non-metallic mineral products,-7.9
CY,2021,Manufacture of other non-metallic mineral products,19.4
CY,2022,Manufacture of other non-metallic mineral products,2.9
CY,2023,Manufacture of other non-metallic mineral products,1.3
CY,2024,Manufacture of other non-metallic mineral products,1.9
CY,2015,Manufacture of other transport equipment,-15.5
CY,2016,Manufacture of other transport equipment,-9.7
CY,2017,Manufacture of other transport equipment,13.6
CY,2018,Manufacture of other transport equipment,5.3
CY,2019,Manufacture of other transport equipment,5.8
CY,2020,Manufacture of other transport equipment,-12.0
CY,2021,Manufacture of other transport equipment,11.3
CY,2022,Manufacture of other transport equipment,26.9
CY,2023,Manufacture of other transport equipment,2.2
CY,2024,Manufacture of other transport equipment,-4.7
CY,2015,Manufacture of paper and paper products,11.8
CY,2016,Manufacture of paper and paper products,2.5
CY,2017,Manufacture of paper and paper products,2.0
CY,2018,Manufacture of paper and paper products,21.9
CY,2019,Manufacture of paper and paper products,1.0
CY,2020,Manufacture of paper and paper products,-7.8
CY,2021,Manufacture of paper and paper products,7.6
CY,2022,Manufacture of paper and paper products,-1.0
CY,2023,Manufacture of paper and paper products,-2.3
CY,2024,Manufacture of paper and paper products,-2.3
CY,2015,Manufacture of rubber and plastic products,5.4
CY,2016,Manufacture of rubber and plastic products,1.1
CY,2017,Manufacture of rubber and plastic products,-2.0
CY,2018,Manufacture of rubber and plastic products,7.2
CY,2019,Manufacture of rubber and plastic products,4.4
CY,2020,Manufacture of rubber and plastic products,0.1
CY,2021,Manufacture of rubber and plastic products,10.2
CY,2022,Manufacture of rubber and plastic products,2.4
CY,2023,Manufacture of rubber and plastic products,0.7
CY,2024,Manufacture of rubber and plastic products,4.6
CY,2015,Manufacture of rubber and plastic products and other non-metallic mineral products,0.9
CY,2016,Manufacture of rubber and plastic products and other non-metallic mineral products,1.8
CY,2017,Manufacture of rubber and plastic products and other non-metallic mineral products,3.0
CY,2018,Manufacture of rubber and plastic products and other non-metallic mineral products,2.6
CY,2019,Manufacture of rubber and plastic products and other non-metallic mineral products,5.6
CY,2020,Manufacture of rubber and plastic products and other non-metallic mineral products,-5.5
CY,2021,Manufacture of rubber and plastic products and other non-metallic mineral products,16.4
CY,2022,Manufacture of rubber and plastic products and other non-metallic mineral products,2.7
CY,2023,Manufacture of rubber and plastic products and other non-metallic mineral products,1.1
CY,2024,Manufacture of rubber and plastic products and other non-metallic mineral products,2.7
CY,2015,"Manufacture of textiles, wearing apparel, leather and related products",0.2
CY,2016,"Manufacture of textiles, wearing apparel, leather and related products",4.9
CY,2017,"Manufacture of textiles, wearing apparel, leather and related products",2.5
CY,2018,"Manufacture of textiles, wearing apparel, leather and related products",16.1
CY,2019,"Manufacture of textiles, wearing apparel, leather and related products",1.7
CY,2020,"Manufacture of textiles, wearing apparel, leather and related products",-12.6
CY,2021,"Manufacture of textiles, wearing apparel, leather and related products",11.9
CY,2022,"Manufacture of textiles, wearing apparel, leather and related products",2.7
CY,2023,"Manufacture of textiles, wearing apparel, leather and related products",0.0
CY,2024,"Manufacture of textiles, wearing apparel, leather and related products",-0.2
CY,2015,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",10.4
CY,2016,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",8.1
CY,2017,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",7.3
CY,2018,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",10.8
CY,2019,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.5
CY,2020,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",-6.8
CY,2021,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",11.1
CY,2022,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.5
CY,2023,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1.1
CY,2024,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1.9
CY,2015,"Manufacture of wood, paper, printing and reproduction",5.8
CY,2016,"Manufacture of wood, paper, printing and reproduction",6.0
CY,2017,"Manufacture of wood, paper, printing and reproduction",5.6
CY,2018,"Manufacture of wood, paper, printing and reproduction",6.4
CY,2019,"Manufacture of wood, paper, printing and reproduction",1.4
CY,2020,"Manufacture of wood, paper, printing and reproduction",-8.2
CY,2021,"Manufacture of wood, paper, printing and reproduction",9.5
CY,2022,"Manufacture of wood, paper, printing and reproduction",1.3
CY,2023,"Manufacture of wood, paper, printing and reproduction",-0.3
CY,2024,"Manufacture of wood, paper, printing and reproduction",0.6
CY,2015,Manufacturing,3.7
CY,2016,Manufacturing,6.3
CY,2017,Manufacturing,5.3
CY,2018,Manufacturing,1.3
CY,2019,Manufacturing,1.2
CY,2020,Manufacturing,-5.9
CY,2021,Manufacturing,10.0
CY,2022,Manufacturing,3.6
CY,2023,Manufacturing,0.9
CY,2024,Manufacturing,1.7
CY,2015,Mining and quarrying,12.5
CY,2016,Mining and quarrying,-3.5
CY,2017,Mining and quarrying,14.8
CY,2018,Mining and quarrying,4.4
CY,2019,Mining and quarrying,-0.5
CY,2020,Mining and quarrying,-1.4
CY,2021,Mining and quarrying,2.9
CY,2022,Mining and quarrying,3.3
CY,2023,Mining and quarrying,0.5
CY,2024,Mining and quarrying,2.9
CY,2015,"Motion picture, video, television programme production; programming and broadcasting activities",-4.6
CY,2016,"Motion picture, video, television programme production; programming and broadcasting activities",4.3
CY,2017,"Motion picture, video, television programme production; programming and broadcasting activities",3.6
CY,2018,"Motion picture, video, television programme production; programming and broadcasting activities",1.0
CY,2019,"Motion picture, video, television programme production; programming and broadcasting activities",16.0
CY,2020,"Motion picture, video, television programme production; programming and broadcasting activities",3.5
CY,2021,"Motion picture, video, television programme production; programming and broadcasting activities",5.8
CY,2022,"Motion picture, video, television programme production; programming and broadcasting activities",7.2
CY,2023,"Motion picture, video, television programme production; programming and broadcasting activities",-4.0
CY,2024,"Motion picture, video, television programme production; programming and broadcasting activities",0.9
CY,2015,Other personal service activities,10.3
CY,2016,Other personal service activities,9.7
CY,2017,Other personal service activities,6.3
CY,2018,Other personal service activities,6.6
CY,2019,Other personal service activities,11.9
CY,2020,Other personal service activities,-11.5
CY,2021,Other personal service activities,9.1
CY,2022,Other personal service activities,8.9
CY,2023,Other personal service activities,3.7
CY,2024,Other personal service activities,1.4
CY,2015,"Other professional, scientific and technical activities; veterinary activities",13.4
CY,2016,"Other professional, scientific and technical activities; veterinary activities",10.0
CY,2017,"Other professional, scientific and technical activities; veterinary activities",7.5
CY,2018,"Other professional, scientific and technical activities; veterinary activities",10.3
CY,2019,"Other professional, scientific and technical activities; veterinary activities",10.9
CY,2020,"Other professional, scientific and technical activities; veterinary activities",0.1
CY,2021,"Other professional, scientific and technical activities; veterinary activities",11.6
CY,2022,"Other professional, scientific and technical activities; veterinary activities",3.1
CY,2023,"Other professional, scientific and technical activities; veterinary activities",0.7
CY,2024,"Other professional, scientific and technical activities; veterinary activities",3.5
CY,2015,Other service activities,5.8
CY,2016,Other service activities,7.2
CY,2017,Other service activities,3.5
CY,2018,Other service activities,6.3
CY,2019,Other service activities,9.6
CY,2020,Other service activities,-9.0
CY,2021,Other service activities,9.3
CY,2022,Other service activities,6.1
CY,2023,Other service activities,3.1
CY,2024,Other service activities,1.3
CY,2015,Postal and courier activities,0.5
CY,2016,Postal and courier activities,6.4
CY,2017,Postal and courier activities,3.8
CY,2018,Postal and courier activities,24.3
CY,2019,Postal and courier activities,4.5
CY,2020,Postal and courier activities,9.6
CY,2021,Postal and courier activities,15.6
CY,2022,Postal and courier activities,6.4
CY,2023,Postal and courier activities,5.0
CY,2024,Postal and courier activities,3.1
CY,2015,Printing and reproduction of recorded media,-4.8
CY,2016,Printing and reproduction of recorded media,4.0
CY,2017,Printing and reproduction of recorded media,4.5
CY,2018,Printing and reproduction of recorded media,-11.3
CY,2019,Printing and reproduction of recorded media,-1.3
CY,2020,Printing and reproduction of recorded media,-12.1
