nazione,anno,tasso_disoccupazione_donne,tasso_disoccupazione_uomini,gap_di_genere
SE,2018,6.4,6.5,-0.099999999999999645
ME,2018,15.1,15.3,-0.20000000000000107
DK,2018,5.3,4.9,0.39999999999999947
MT,2018,3.7,4.1,-0.39999999999999947
DE,2018,2.7,3.6,-0.89999999999999991
EU27_2020,2018,7.7,7.1,0.60000000000000053
BG,2018,5.6,6.7,-1.1000000000000005
HU,2018,3.7,3.4,0.30000000000000027
RS,2018,14.8,12.9,1.9000000000000004
NL,2018,5.1,4.7,0.39999999999999947
TR,2018,13.8,9.6,4.2000000000000011
HR,2018,9.3,7.5,1.8000000000000007
AT,2018,4.9,5.5,-0.59999999999999964
CZ,2018,2.8,1.8,0.99999999999999978
NO,2018,3.8,4.2,-0.40000000000000036
FI,2018,7.2,7.7,-0.5
RO,2018,4.5,5.8,-1.2999999999999998
PL,2018,3.9,3.9,0.0
CY,2018,8.8,8.1,0.70000000000000107
FR,2018,9.0,9.0,0.0
PT,2018,7.6,6.9,0.69999999999999929
IT,2018,11.7,9.7,2.0
IE,2019,4.7,5.2,-0.5
ES,2019,16.0,12.5,3.5
DE,2019,2.6,3.3,-0.69999999999999973
PL,2019,3.6,3.0,0.60000000000000009
FR,2019,8.4,8.5,-0.099999999999999645
CY,2019,7.7,6.7,1.0
NO,2019,3.6,4.1,-0.49999999999999956
CZ,2019,2.4,1.7,0.7
CH,2019,4.7,4.1,0.60000000000000053
RO,2019,4.3,5.3,-1.0
NL,2019,4.5,4.3,0.20000000000000018
MT,2019,4.7,3.7,1.0
FI,2019,6.2,7.3,-1.0999999999999996
MK,2019,18.4,16.5,1.8999999999999986
HR,2019,7.1,6.1,1.0
BG,2019,4.8,5.5,-0.70000000000000018
DK,2019,5.3,4.8,0.5
ME,2019,15.7,14.7,1.0
TR,2019,16.5,12.4,4.1
AT,2019,4.6,5.1,-0.5
RS,2019,12.1,10.7,1.4000000000000004
LV,2019,5.4,7.2,-1.7999999999999998
EA20,2019,8.0,7.3,0.70000000000000018
LU,2019,5.5,5.7,-0.20000000000000018
HU,2019,3.3,3.3,0.0
SE,2019,7.1,6.7,0.39999999999999947
EE,2019,4.8,4.1,0.70000000000000018
PT,2019,7.2,6.0,1.2000000000000002
LT,2019,5.5,7.1,-1.5999999999999996
BE,2019,5.0,5.9,-0.90000000000000036
EU27_2020,2019,7.2,6.5,0.70000000000000018
SI,2019,5.0,4.0,1.0
IT,2019,11.1,9.1,2.0
EL,2019,22.4,14.4,7.9999999999999982
IS,2019,3.1,3.8,-0.69999999999999973
SK,2019,6.0,5.5,0.5
SE,2020,8.5,8.5,0.0
HU,2020,4.1,4.1,0.0
SK,2020,7.1,6.2,0.89999999999999947
DE,2020,3.2,4.0,-0.79999999999999982
ES,2020,17.4,13.9,3.4999999999999982
IE,2020,5.9,5.8,0.10000000000000053
MK,2020,15.9,16.7,-0.79999999999999893
EE,2020,6.6,7.1,-0.5
TR,2020,14.9,12.4,2.5
IS,2020,5.3,5.6,-0.29999999999999982
BG,2020,5.6,6.4,-0.80000000000000071
HR,2020,7.5,7.3,0.20000000000000018
PL,2020,3.3,3.1,0.19999999999999973
DK,2020,6.0,5.3,0.70000000000000018
MT,2020,5.1,4.7,0.39999999999999947
ME,2020,18.4,17.5,0.89999999999999858
EL,2020,21.5,14.6,6.9
FR,2020,8.0,8.1,-0.099999999999999645
RO,2020,5.7,6.3,-0.59999999999999964
IT,2020,10.4,8.6,1.8000000000000007
AT,2020,5.9,6.1,-0.19999999999999929
CY,2020,7.5,7.7,-0.20000000000000018
SI,2020,5.7,4.4,1.2999999999999998
RS,2020,10.2,9.5,0.69999999999999929
PT,2020,7.2,6.9,0.29999999999999982
BE,2020,5.5,6.0,-0.5
NL,2020,5.1,4.6,0.5
LV,2020,7.1,9.1,-2.0
EA20,2020,8.3,7.7,0.60000000000000053
LT,2020,7.7,9.3,-1.6000000000000005
CZ,2020,3.0,2.2,0.79999999999999982
CH,2020,5.0,4.7,0.29999999999999982
NO,2020,4.5,4.9,-0.40000000000000036
LU,2020,7.0,6.6,0.40000000000000036
EU27_2020,2020,7.5,7.0,0.5
FI,2020,7.4,8.1,-0.69999999999999929
CH,2021,5.3,4.9,0.39999999999999947
BG,2021,4.9,5.4,-0.5
FR,2021,7.8,8.0,-0.20000000000000018
SE,2021,9.2,8.6,0.59999999999999964
LU,2021,5.6,4.9,0.69999999999999929
NO,2021,4.2,4.6,-0.39999999999999947
BE,2021,5.9,6.6,-0.69999999999999929
LT,2021,6.6,7.6,-1.0
TR,2021,14.7,10.7,4.0
EA20,2021,8.2,7.4,0.79999999999999893
AT,2021,6.1,6.3,-0.20000000000000018
EU27_2020,2021,7.4,6.8,0.60000000000000053
NL,2021,4.5,4.0,0.5
EE,2021,5.6,6.8,-1.2000000000000002
LV,2021,6.6,8.5,-1.9000000000000004
PT,2021,7.0,6.5,0.5
FI,2021,7.1,8.2,-1.0999999999999996
RS,2021,12.2,10.3,1.8999999999999986
CY,2021,7.3,7.0,0.29999999999999982
IT,2021,10.6,8.7,1.9000000000000004
CZ,2021,3.4,2.3,1.1
DK,2021,5.2,5.0,0.20000000000000018
SK,2021,7.0,6.7,0.29999999999999982
EL,2021,18.9,11.4,7.4999999999999982
SI,2021,5.3,4.3,1.0
HR,2021,8.0,7.1,0.90000000000000036
PL,2021,3.4,3.4,0.0
IS,2021,6.4,5.8,0.60000000000000053
ES,2021,16.8,13.2,3.6000000000000014
BA,2021,22.0,14.4,7.6
RO,2021,5.1,6.0,-0.90000000000000036
DE,2021,3.2,3.9,-0.69999999999999973
IE,2021,6.1,6.3,-0.20000000000000018
MT,2021,3.6,3.9,-0.29999999999999982
HU,2021,4.2,3.9,0.30000000000000027
IE,2022,4.6,4.4,0.19999999999999929
CH,2022,4.4,3.9,0.50000000000000044
MT,2022,3.1,3.7,-0.60000000000000009
BG,2022,3.9,4.3,-0.39999999999999991
RO,2022,5.1,6.0,-0.90000000000000036
DE,2022,2.9,3.4,-0.5
HR,2022,7.9,5.9,2.0
CZ,2022,2.8,1.8,0.99999999999999978
DK,2022,4.5,4.4,0.099999999999999645
RS,2022,10.1,9.1,1.0
LV,2022,5.6,8.1,-2.5
EU27_2020,2022,6.5,5.9,0.59999999999999964
NL,2022,3.8,3.3,0.5
EA20,2022,7.2,6.4,0.79999999999999982
TR,2022,13.5,9.0,4.5
BE,2022,5.3,5.8,-0.5
FR,2022,7.1,7.5,-0.40000000000000036
LU,2022,4.7,4.5,0.20000000000000018
PT,2022,6.6,5.8,0.79999999999999982
HU,2022,3.5,3.7,-0.20000000000000018
SE,2022,7.9,7.1,0.80000000000000071
LT,2022,5.5,6.5,-1.0
NO,2022,3.1,3.4,-0.29999999999999982
EE,2022,5.1,6.1,-1.0
AT,2022,4.5,4.9,-0.40000000000000036
CY,2022,6.8,5.8,1.0
SK,2022,6.4,5.9,0.5
IT,2022,9.4,7.1,2.3000000000000007
ES,2022,14.9,11.4,3.5
EL,2022,16.4,9.3,7.0999999999999979
SI,2022,4.3,3.8,0.5
IS,2022,3.4,4.2,-0.80000000000000027
PL,2022,2.9,2.8,0.10000000000000009
BA,2022,19.8,12.6,7.2000000000000011
FI,2022,6.4,7.1,-0.69999999999999929
FI,2023,6.5,7.9,-1.4000000000000004
EA20,2023,6.9,6.3,0.60000000000000053
TR,2023,12.7,7.7,4.9999999999999991
FR,2023,7.2,7.5,-0.29999999999999982
PL,2023,2.9,2.8,0.10000000000000009
HR,2023,6.7,5.7,1.0
NO,2023,3.5,3.7,-0.20000000000000018
CY,2023,5.9,5.8,0.10000000000000053
PT,2023,6.9,6.2,0.70000000000000018
EU27_2020,2023,6.4,5.8,0.60000000000000053
HU,2023,4.2,4.1,0.10000000000000053
SK,2023,5.9,5.8,0.10000000000000053
ES,2023,13.9,10.7,3.2000000000000011
BG,2023,4.2,4.4,-0.20000000000000018
NL,2023,3.8,3.4,0.39999999999999991
CZ,2023,3.1,2.2,0.89999999999999991
IE,2023,4.2,4.4,-0.20000000000000018
AT,2023,4.9,5.3,-0.39999999999999947
RO,2023,5.1,5.9,-0.80000000000000071
EL,2023,14.3,8.5,5.8000000000000007
MT,2023,3.2,3.7,-0.5
SI,2023,3.7,3.6,0.10000000000000009
DE,2023,2.8,3.3,-0.5
IS,2023,3.1,3.9,-0.79999999999999982
DK,2023,5.3,5.0,0.29999999999999982
IT,2023,8.8,6.8,2.0000000000000009
BA,2023,16.7,10.9,5.7999999999999989
LV,2023,5.4,7.6,-2.1999999999999993
RS,2023,9.9,9.1,0.80000000000000071
EE,2023,6.7,6.2,0.5
SE,2023,7.9,7.5,0.40000000000000036
BE,2023,5.1,6.0,-0.90000000000000036
LT,2023,6.4,7.3,-0.89999999999999947
LU,2023,5.4,5.0,0.40000000000000036
CH,2023,4.3,3.9,0.39999999999999991
EA20,2024,6.6,6.1,0.5
TR,2024,11.8,7.1,4.7000000000000011
LU,2024,6.3,6.6,-0.29999999999999982
BE,2024,5.3,6.1,-0.79999999999999982
SE,2024,8.5,8.3,0.19999999999999929
RS,2024,8.9,8.4,0.5
EE,2024,7.5,7.6,-0.099999999999999645
BA,2024,16.6,10.1,6.5000000000000018
LV,2024,5.8,8.0,-2.2
IT,2024,7.3,5.9,1.3999999999999995
DK,2024,6.5,5.9,0.59999999999999964
IS,2024,3.3,3.8,-0.5
DE,2024,3.1,3.6,-0.5
FI,2024,7.6,9.2,-1.5999999999999996
SI,2024,4.0,3.5,0.5
RO,2024,5.1,5.7,-0.60000000000000053
EL,2024,12.8,8.0,4.8000000000000007
AT,2024,4.7,5.6,-0.89999999999999947
MT,2024,3.0,3.2,-0.20000000000000018
